Run Date,Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Weight %,Sell Reason,Buy Reason,Exit Safety,Data Safety
2026-09-18,21,1,NATIONALUM,350.5,0.6616090493442806,0.5891089108910891,0.41089108910891087,-0.1782178217821782,HOLD,2.0,,,,VALID
2026-09-18,11,2,FEDERALBNK,332.75,0.758806614057743,0.5870646766169154,0.4129353233830846,-0.17412935323383083,HOLD,2.0,,,,VALID
2026-09-18,9,3,BHEL,439.8999938964844,0.8054555505621968,0.58,0.42,-0.15999999999999998,HOLD,2.0,,,,VALID
2026-09-18,88,4,HINDALCO,986.5,0.2651807625540059,0.5792079207920792,0.4207920792079208,-0.1584158415841584,HOLD,2.0,,,,VALID
2026-09-18,23,5,POWERINDIA,32700.0,0.6551422682125096,0.5771144278606966,0.4228855721393035,-0.15422885572139305,HOLD,2.0,,,,VALID
2026-09-18,3,6,ACUTAAS,3440.300048828125,1.4605029720319647,0.5771144278606966,0.4228855721393035,-0.15422885572139305,HOLD,2.0,,,,VALID
2026-09-18,20,7,SHRIRAMFIN,1010.0,0.6702760193890616,0.5671641791044776,0.43283582089552236,-0.13432835820895522,HOLD,2.0,,,,VALID
2026-09-18,22,8,LAURUSLABS,1954.0,0.6599910033920073,0.5643564356435643,0.43564356435643564,-0.12871287128712866,HOLD,2.0,,,,VALID
2026-09-18,64,9,TORNTPHARM,4840.0,0.34697231620092484,0.5594059405940595,0.4405940594059406,-0.11881188118811886,HOLD,2.0,,,,VALID
2026-09-18,5,10,ATHERENERG,1640.0,1.279466579861111,0.5594059405940595,0.4405940594059406,-0.11881188118811886,HOLD,2.0,,,,VALID
2026-09-18,94,11,BANKINDIA,140.0,0.2423055394925473,0.5594059405940595,0.4405940594059406,-0.11881188118811886,HOLD,2.0,,,,VALID
2026-09-18,52,12,INDUSINDBK,966.2999877929688,0.39895801607430936,0.555,0.445,-0.11000000000000004,HOLD,2.0,,,,VALID
2026-09-18,6,13,ADANIENSOL,1436.0999755859375,1.0565902886767686,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,2.0,,,,VALID
2026-09-18,15,14,BHARATFORG,1962.0999755859375,0.7339257325006814,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,2.0,,,,VALID
