effective_date,symbol
2019-01-28,INDIGO
2019-01-28,INDOCO
2019-01-28,INDUSINDBK
2019-01-28,INDUSTOWER
2019-01-28,INFIBEAM
2019-01-28,INFY
2019-01-28,INOXWIND
2019-01-28,INSILCO
2019-01-28,INTELLECT
2019-01-28,IOB
2019-01-28,IOC
2019-01-28,IONEXCHANG
2019-01-28,IPCALAB
2019-01-28,IPRINGS
2019-01-28,ISMT
2019-01-28,ITC
2019-01-28,ITDC
2019-01-28,ITDCEMEN
2019-01-28,ITI
2019-01-28,ITIETF
2019-01-28,ITWSIGNO
2019-01-28,JAGRAN
2019-01-28,JAICORPLTD
2019-01-28,JBCHEPHARM
2019-01-28,JBMA
2019-01-28,JETAIRWAYS
2019-01-28,JGCHEM
2019-01-28,JINDALPHOT
2019-01-28,JINDALSAW
2019-01-28,JINDALSTEL
2019-01-28,JISLJALEQS
2019-01-28,JKCEMENT
2019-01-28,JKTYRE
2019-01-28,JPASSOCIAT
2019-01-28,JPPOWER
2019-01-28,JSL
2019-01-28,JUBLFOOD
2019-01-28,JUBLINGRY
2019-01-28,KAJARIACER
2019-01-28,KANSAINER
2019-01-28,KARURVYSYA
2019-01-28,KARUTURI
2019-01-28,KINETIC
2019-01-28,KIOCL
2019-01-28,KMSUGAR
2019-01-28,KNRCON
2019-01-28,KOHINOOR
2019-01-28,KOTAKBANK
2019-01-28,KPEL
2019-01-28,KRBL
2019-01-28,KRISHNA
2019-01-28,KTKBANK
2019-01-28,KUMARS
2019-01-28,LAKSHMI
2019-01-28,LALPATHLAB
2019-01-28,LAURUSLABS
2019-01-28,LEMONTREE
2019-01-28,LICHSGFIN
2019-01-28,LINDEINDIA
2019-01-28,LT
2019-01-28,LTF
2019-01-28,LTTS
2019-01-28,LUPIN
2019-01-28,LUXIND
2019-01-28,M
2019-01-28,M&
2019-01-28,M&M
2019-01-28,MADURA
2019-01-28,MAFATIND
2019-01-28,MAHABANK
2019-01-28,MALWA
2019-01-28,MANPASAND
2019-01-28,MARICO
2019-01-28,MARUTI
2019-01-28,MASFIN
2019-01-28,MASTEK
2019-01-28,MATRIX
2019-01-28,MAXIND
2019-01-28,MCLEODRUSS
2019-01-28,MERCK
2019-01-28,MERIND
2019-01-28,MFSL
2019-01-28,MGL
2019-01-28,MODIXEROX
2019-01-28,MONSANTO
2019-01-28,MOREPENLAB
2019-01-28,MOTHERSON
2019-01-28,MOTHERSUMI
2019-01-28,MPHASIS
2019-01-28,MRF
2019-01-28,MRPL
2019-01-28,NAGARFERT
2019-01-28,NAHAR
2019-01-28,NAHARPOLY
2019-01-28,NAHARSPING
2019-01-28,NAM-INDIA
2019-01-28,NATCOPHARM
2019-01-28,NATIONAL
2019-01-28,NATIONALUM
2019-01-28,NAVA
2019-01-28,NAVINFLUOR
2019-01-28,NCC
2019-01-28,NESCO
2019-01-28,NESTLEIND
2019-01-28,NETWORK18
2019-01-28,NFL
2019-01-28,NH
2019-01-28,NIACL
2019-01-28,NILKAMAL
2019-01-28,NIRMA
2019-01-28,NITCO
2019-01-28,NLCINDIA
2019-01-28,NMDC
2019-01-28,NTPC
2019-01-28,OBC
2019-01-28,OFSS
2019-01-28,OILCOUNTUB
2019-01-28,OLECTRA
2019-01-28,OMAXAUTO
2019-01-28,OMAXE
2019-01-28,ONELIFECAP
2019-01-28,ONGC
2019-01-28,ONIDA
2019-01-28,ORIENTCEM
2019-01-28,PARAGMILK
2019-01-28,PATANJALI
2019-01-28,PATNI
2019-01-28,PATSPIN
2019-01-28,PCBL
2019-01-28,PCJEWELLER
2019-01-28,PDMJEPAPER
2019-01-28,PEL
2019-01-28,PENTAFOUR
2019-01-28,PENTAMEDIA
2019-01-28,PERSISTENT
2019-01-28,PETRONET
2019-01-28,PFIZER
2019-01-28,PGHL
2019-01-28,PHIL
2019-01-28,PHILIPS
2019-01-28,PHOENIX
2019-01-28,PIDILITIND
2019-01-28,PNB
2019-01-28,POONAWALLA
2019-01-28,PRAJIND
2019-01-28,PREMIERENE
2019-01-28,PRESTIGE
2019-01-28,PSIDATA
2019-01-28,PTC
2019-01-28,PUNJABCHEM
2019-01-28,PUNJTRACT
2019-01-28,QUESS
2019-01-28,RAASI
2019-01-28,RAIN
2019-01-28,RAJESHEXPO
2019-01-28,RALLIS
2019-01-28,RAMCOCEM
2019-01-28,RAYMOND
2019-01-28,RBLBANK
2019-01-28,RCF
2019-01-28,RCOM
2019-01-28,RECKITT
2019-01-28,RECLTD
2019-01-28,REIAGRO
2019-01-28,RELAXO
2019-01-28,RELCAPITAL
2019-01-28,RELIANCE
2019-01-28,RELINFRA
2019-01-28,RELMEDIA
2019-01-28,RITES
2019-01-28,RKFORGE
2019-01-28,RPGTRANS
2019-01-28,RPOWER
2019-01-28,RSWM
2019-01-28,RUPA
