Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Sell Reason,Exit Safety,Data Safety,Weight %
1,,HFCL,213.0,1.8522638896016002,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
2,,ACUTAAS,3426.60009765625,1.5217749888633607,0.5841584158415841,0.4158415841584158,-0.1683168316831683,HOLD,,,,2.0
3,,CPPLUS,3375.89990234375,1.4889792698704283,0.5024630541871922,0.4975369458128079,-0.004926108374384286,ID FILTER,,,,0.0
4,,KIRLOSENG,2175.0,1.3071703719023122,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,,,,2.0
5,,ATHERENERG,1596.4000244140625,1.2042772017349228,0.5566502463054187,0.4433497536945813,-0.11330049261083741,HOLD,,,,2.0
6,,CEMPRO,1260.800048828125,1.12844226128637,0.5123152709359606,0.4876847290640394,-0.024630541871921208,BUY,,,,2.0
7,,ADANIENSOL,1424.800048828125,0.9855212074460453,0.5566502463054187,0.4433497536945813,-0.11330049261083741,HOLD,,,,2.0
8,,RRKABEL,2451.800048828125,0.8781817796137559,0.5517241379310345,0.4482758620689655,-0.10344827586206895,HOLD,,,,2.0
9,,WELCORP,2712.800048828125,0.8082636909521357,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
10,,FEDERALBNK,332.8999938964844,0.7989591020090707,0.594059405940594,0.40594059405940597,-0.18811881188118806,HOLD,,,,2.0
11,,J&KBANK,146.11000061035156,0.7700027610591544,0.5270935960591133,0.4729064039408867,-0.054187192118226646,HOLD,,,,2.0
12,,BHEL,435.79998779296875,0.7482532169768727,0.572139303482587,0.42786069651741293,-0.14427860696517408,HOLD,,,,2.0
13,,HINDCOPPER,501.3999938964844,0.7437586655822328,0.5024630541871922,0.4975369458128079,-0.004926108374384286,ID FILTER,,,,0.0
14,,MCX,3221.5,0.7395515608920633,0.5369458128078818,0.4630541871921182,-0.07389162561576357,HOLD,,,,2.0
15,,BHARATFORG,1976.5999755859375,0.7372558764465378,0.5517241379310345,0.4482758620689655,-0.10344827586206895,HOLD,,,,2.0
16,,HSCL,683.5999755859375,0.7171320217847137,0.5467980295566502,0.45320197044334976,-0.09359605911330049,HOLD,,,,2.0
17,,LAURUSLABS,1982.5999755859375,0.7123722378694282,0.5665024630541872,0.43349753694581283,-0.13300492610837433,HOLD,,,,2.0
18,,CHENNPETRO,1398.300048828125,0.7080637340595886,0.4827586206896552,0.5172413793103449,0.03448275862068967,ID FILTER,,,,0.0
19,,SHRIRAMFIN,1012.0999755859375,0.6961616959962893,0.5693069306930693,0.4306930693069307,-0.13861386138613857,HOLD,,,,2.0
20,,POWERINDIA,32285.0,0.6917213424073072,0.5792079207920792,0.4207920792079208,-0.1584158415841584,HOLD,,,,2.0
21,,SONACOMS,813.5,0.6902050441009326,0.541871921182266,0.458128078817734,-0.08374384236453203,HOLD,,,,2.0
22,,BSE,3221.10009765625,0.6831544521304973,0.5320197044334976,0.46798029556650245,-0.0640394088669951,HOLD,,,,2.0
23,,NATIONALUM,353.25,0.673898015643682,0.5891089108910891,0.41089108910891087,-0.1782178217821782,HOLD,,,,2.0
24,,AEGISLOG,1436.0,0.6682444939224115,0.458128078817734,0.541871921182266,0.08374384236453203,ID FILTER,,,,0.0
25,,SYRMA,1699.9000244140625,0.6608060821320538,0.5270935960591133,0.4729064039408867,-0.054187192118226646,HOLD,,,,2.0
26,,NAVINFLUOR,8413.0,0.6479466330400807,0.541871921182266,0.458128078817734,-0.08374384236453203,HOLD,,,,2.0
27,,GRANULES,877.8499755859375,0.6115199415075077,0.5297029702970297,0.47029702970297027,-0.05940594059405946,HOLD,,,,2.0
28,,IDEA,14.0600004196167,0.6059524266357617,0.5024875621890548,0.4975124378109453,-0.004975124378109486,ID FILTER,,,,0.0
29,,PFOCUS,341.79998779296875,0.5727638664719172,0.5221674876847291,0.47783251231527096,-0.04433497536945813,HOLD,,,,2.0
30,,KARURVYSYA,329.20001220703125,0.5669029788791755,0.5172413793103449,0.4827586206896552,-0.03448275862068967,HOLD,,,,2.0
31,,APARINDS,18664.0,0.5644851608066652,0.5369458128078818,0.4630541871921182,-0.07389162561576357,HOLD,,,,2.0
32,,ADANIPOWER,209.8000030517578,0.5532138957790758,0.47783251231527096,0.5221674876847291,0.04433497536945813,ID FILTER,,,,0.0
33,,SCHNEIDER,1222.699951171875,0.5238683861916678,0.49261083743842365,0.5073891625615764,0.014778325123152747,ID FILTER,,,,0.0
34,,AIAENG,3994.800048828125,0.5224885223280935,0.5495049504950495,0.4504950495049505,-0.09900990099009904,HOLD,,,,2.0
35,,BELRISE,244.02999877929688,0.5080254613743982,0.4827586206896552,0.5172413793103449,0.03448275862068967,ID FILTER,,,,0.0
36,,NUVAMA,1722.699951171875,0.5046508665246556,0.5172413793103449,0.4827586206896552,-0.03448275862068967,HOLD,,,,2.0
37,,HONASA,470.45001220703125,0.4966821753192967,0.4975124378109453,0.5024875621890548,0.004975124378109486,ID FILTER,,,,0.0
38,,ADANIGREEN,1316.800048828125,0.495973704724608,0.49261083743842365,0.5073891625615764,0.014778325123152747,ID FILTER,,,,0.0
39,,DATAPATTNS,4512.60009765625,0.4837773164297341,0.4975369458128079,0.5024630541871922,0.004926108374384286,ID FILTER,,,,0.0
40,,MAHABANK,83.05999755859375,0.46996554850557226,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,,,,2.0
41,,THERMAX,3510.10009765625,0.4695765296854484,0.5024630541871922,0.4975369458128079,-0.004926108374384286,ID FILTER,,,,0.0
42,,VTL,568.5,0.46702651651126326,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
43,,GVT&D,4416.2998046875,0.4622803939271165,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
44,,LLOYDSME,1825.9000244140625,0.4584548330117246,0.4827586206896552,0.5172413793103449,0.03448275862068967,ID FILTER,,,,0.0
45,,ANGELONE,299.0,0.44760374869408137,0.4876847290640394,0.5123152709359606,0.024630541871921208,ID FILTER,,,,0.0
46,,CUB,235.85000610351562,0.44608569040495194,0.5123152709359606,0.4876847290640394,-0.024630541871921208,BUY,,,,2.0
47,,EMCURE,2012.4000244140625,0.4335195842211841,0.5123152709359606,0.4876847290640394,-0.024630541871921208,HOLD,,,,2.0
48,,INDUSINDBK,965.7999877929688,0.43091396825104833,0.5572139303482587,0.4427860696517413,-0.11442786069651745,HOLD,,,,2.0
49,,NAM-INDIA,1149.800048828125,0.4276565638296894,0.4876847290640394,0.5123152709359606,0.024630541871921208,ID FILTER,,,,0.0
50,,AJANTPHARM,3554.300048828125,0.4208142886921362,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
51,,ABCAPITAL,403.0,0.4146636570201989,0.5123152709359606,0.4876847290640394,-0.024630541871921208,BUY,,,,2.0
52,,AUROPHARMA,1728.0,0.4114546283868459,0.4975369458128079,0.5024630541871922,0.004926108374384286,ID FILTER,,,,0.0
53,,SAILIFE,1615.4000244140625,0.41049626961739283,0.5024630541871922,0.4975369458128079,-0.004926108374384286,ID FILTER,,,,0.0
54,,TORNTPHARM,4897.5,0.4012314342862231,0.5615763546798029,0.43842364532019706,-0.12315270935960587,HOLD,,,,2.0
55,,AUBANK,1043.300048828125,0.3959927087919277,0.5221674876847291,0.47783251231527096,-0.04433497536945813,HOLD,,,,2.0
56,,ABB,7233.5,0.39101423982695493,0.5467980295566502,0.45320197044334976,-0.09359605911330049,HOLD,,,,2.0
57,,CRAFTSMAN,11131.0,0.3892540819108985,0.48514851485148514,0.5148514851485149,0.02970297029702973,ID FILTER,,,,0.0
58,,MRPL,165.97999572753906,0.38687025807066067,0.458128078817734,0.541871921182266,0.08374384236453203,ID FILTER,,,,0.0
59,,CUMMINSIND,5117.0,0.3858701768477786,0.5467980295566502,0.45320197044334976,-0.09359605911330049,HOLD,,,,2.0
60,,ANANDRATHI,2229.0,0.38025092834593077,0.541871921182266,0.458128078817734,-0.08374384236453203,HOLD,,,,2.0
61,,CCL,1059.300048828125,0.3638679918441383,0.5123152709359606,0.4876847290640394,-0.024630541871921208,ID FILTER,,,,0.0
62,,GESHIP,1440.5,0.3637949333551975,0.5320197044334976,0.46798029556650245,-0.0640394088669951,HOLD,,,,2.0
63,,TITAN,4798.5,0.35673890676531395,0.5172413793103449,0.4827586206896552,-0.03448275862068967,HOLD,,,,2.0
64,,RBLBANK,407.3500061035156,0.35498160422535485,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
65,,OFSS,11597.0,0.34738853970073946,0.4975369458128079,0.5024630541871922,0.004926108374384286,ID FILTER,,,,0.0
66,,NYKAA,324.29998779296875,0.346153923241312,0.5221674876847291,0.47783251231527096,-0.04433497536945813,HOLD,,,,2.0
