Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Sell Reason,Exit Safety,Data Safety,Weight %
1,,CPPLUS,3687.5,1.6841890780372037,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
2,,HFCL,211.27000427246094,1.5765707143825272,0.49504950495049505,0.504950495049505,0.00990099009900991,ID FILTER,,,,0.0
3,,KIRLOSENG,2137.199951171875,1.3142027071058417,0.5174129353233831,0.48258706467661694,-0.03482587064676612,HOLD,,,,2.0
4,,ACUTAAS,3272.5,1.3099000778368035,0.582089552238806,0.417910447761194,-0.16417910447761197,HOLD,,,,2.0
5,,ATHERENERG,1497.0,1.169238917250373,0.5495049504950495,0.4504950495049505,-0.09900990099009904,HOLD,,,,2.0
6,,RRKABEL,2528.300048828125,0.9843731710001506,0.5495049504950495,0.4504950495049505,-0.09900990099009904,HOLD,,,,2.0
7,,ADANIENSOL,1338.5,0.9036009035278005,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,,,,2.0
8,,WELCORP,2832.39990234375,0.8353886358679599,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,,,,2.0
9,,FEDERALBNK,322.0,0.8326176807566237,0.5970149253731343,0.40298507462686567,-0.1940298507462686,HOLD,,,,2.0
10,,LAURUSLABS,2007.0,0.7896097951476542,0.5693069306930693,0.4306930693069307,-0.13861386138613857,HOLD,,,,2.0
11,,BHARATFORG,2008.0,0.7896094283444299,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,,,,2.0
12,,BHEL,418.95001220703125,0.7843582552311779,0.58,0.42,-0.15999999999999998,HOLD,,,,2.0
13,,CEMPRO,1257.199951171875,0.7656900805471711,0.5,0.5,0.0,ID FILTER,,,,0.0
14,,SONACOMS,824.5,0.7633985705293138,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,,,,2.0
15,,AEGISLOG,1365.4000244140625,0.753186811078296,0.4603960396039604,0.5396039603960396,0.07920792079207922,ID FILTER,,,,0.0
16,,BSE,3191.5,0.7418155464739145,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,,,,2.0
17,,NATIONALUM,358.70001220703125,0.7276869527606673,0.5970149253731343,0.40298507462686567,-0.1940298507462686,HOLD,,,,2.0
18,,HSCL,678.75,0.7101905034622931,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,,,,2.0
19,,MCX,3324.89990234375,0.7013586696859158,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,,,,2.0
20,,J&KBANK,146.10000610351562,0.6790232474587241,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,,,,2.0
21,,NUVAMA,1681.4000244140625,0.6725655586537052,0.5297029702970297,0.47029702970297027,-0.05940594059405946,HOLD,,,,2.0
22,,DATAPATTNS,4418.7998046875,0.6690254613301783,0.5,0.5,0.0,ID FILTER,,,,0.0
23,,SHRIRAMFIN,994.0999755859375,0.6597762467226653,0.5671641791044776,0.43283582089552236,-0.13432835820895522,HOLD,,,,2.0
24,,KARURVYSYA,327.95001220703125,0.6272906745737366,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,,,,2.0
25,,CHENNPETRO,1376.4000244140625,0.6228279910596259,0.4752475247524752,0.5247524752475248,0.04950495049504955,ID FILTER,,,,0.0
26,,POWERINDIA,31035.0,0.6179763975889532,0.572139303482587,0.42786069651741293,-0.14427860696517408,HOLD,,,,2.0
27,,APARINDS,17776.0,0.5901310452169557,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,,,,2.0
28,,NAVINFLUOR,8584.5,0.5870593067703647,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,,,,2.0
29,,SCHNEIDER,1209.5,0.5734309744338921,0.49504950495049505,0.504950495049505,0.00990099009900991,ID FILTER,,,,0.0
30,,GRANULES,868.6500244140625,0.5722906828187886,0.527363184079602,0.472636815920398,-0.05472636815920401,HOLD,,,,2.0
31,,SYRMA,1732.5999755859375,0.5423203041055271,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,,,,2.0
32,,HONASA,465.5,0.5214514598415474,0.505,0.495,-0.010000000000000009,ID FILTER,,,,0.0
33,,PFOCUS,315.45001220703125,0.5209779873111373,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,,,,2.0
34,,LLOYDSME,1838.0,0.5209616921176452,0.4900990099009901,0.5099009900990099,0.01980198019801982,ID FILTER,,,,0.0
35,,IDEA,14.260000228881836,0.5126727710610395,0.5,0.5,0.0,ID FILTER,,,,0.0
36,,MAHABANK,84.87999725341797,0.5094221958068652,0.5422885572139303,0.4577114427860697,-0.08457711442786064,HOLD,,,,2.0
37,,VTL,554.0,0.485797071731616,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,,,,2.0
38,,AIAENG,3919.39990234375,0.4788642102260745,0.5422885572139303,0.4577114427860697,-0.08457711442786064,HOLD,,,,2.0
39,,HINDCOPPER,494.6499938964844,0.47434606352786135,0.4900990099009901,0.5099009900990099,0.01980198019801982,ID FILTER,,,,0.0
40,,GESHIP,1497.199951171875,0.4416345211435546,0.5445544554455446,0.45544554455445546,-0.08910891089108913,HOLD,,,,2.0
41,,ADANIPOWER,202.75,0.43395975612153936,0.4752475247524752,0.5247524752475248,0.04950495049504955,ID FILTER,,,,0.0
42,,ANGELONE,288.0,0.430108854959095,0.49504950495049505,0.504950495049505,0.00990099009900991,ID FILTER,,,,0.0
43,,ANANDRATHI,2126.800048828125,0.4264334140250021,0.5445544554455446,0.45544554455445546,-0.08910891089108913,HOLD,,,,2.0
44,,CUMMINSIND,4945.0,0.42639499249327906,0.5594059405940595,0.4405940594059406,-0.11881188118811886,HOLD,,,,2.0
45,,ABB,7052.5,0.42397468577791875,0.5544554455445545,0.44554455445544555,-0.10891089108910895,HOLD,,,,2.0
46,,BELRISE,247.9199981689453,0.4203222382582694,0.4752475247524752,0.5247524752475248,0.04950495049504955,ID FILTER,,,,0.0
47,,EMCURE,1950.5999755859375,0.41876588406524684,0.5099009900990099,0.4900990099009901,-0.01980198019801982,ID FILTER,,,,0.0
48,,TORNTPHARM,4988.5,0.4173312850382702,0.5643564356435643,0.43564356435643564,-0.12871287128712866,HOLD,,,,2.0
49,,GVT&D,4280.0,0.4069512893897371,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
50,,THERMAX,3447.199951171875,0.401885462576443,0.5,0.5,0.0,ID FILTER,,,,0.0
51,,SAILIFE,1592.199951171875,0.39855940274099133,0.5,0.5,0.0,ID FILTER,,,,0.0
52,,AUROPHARMA,1712.0,0.3965360072926163,0.5,0.5,0.0,ID FILTER,,,,0.0
53,,TITAN,4884.0,0.38888458318618824,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,,,,2.0
54,,MOTHERSON,165.7100067138672,0.3878868207813344,0.5024875621890548,0.4975124378109453,-0.004975124378109486,ID FILTER,,,,0.0
55,,RADICO,4557.10009765625,0.38395350540761264,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,,,,2.0
56,,CUB,225.57000732421875,0.37785094580865963,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
57,,ABCAPITAL,390.0,0.37469461118155545,0.5099009900990099,0.4900990099009901,-0.01980198019801982,HOLD,,,,2.0
58,,CRAFTSMAN,10735.0,0.37464202693277615,0.47761194029850745,0.5223880597014925,0.04477611940298504,ID FILTER,,,,0.0
59,,AJANTPHARM,3547.800048828125,0.36872178976254855,0.5024875621890548,0.4975124378109453,-0.004975124378109486,ID FILTER,,,,0.0
60,,NYKAA,333.70001220703125,0.36513566196240044,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,,,,2.0
61,,AUBANK,1018.0,0.353829597615406,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,,,,2.0
62,,WELSPUNLIV,224.67999267578125,0.3529533577336901,0.48756218905472637,0.5124378109452736,0.02487562189054726,ID FILTER,,,,0.0
63,,INDUSINDBK,912.2000122070312,0.34682864863410545,0.5572139303482587,0.4427860696517413,-0.11442786069651745,HOLD,,,,2.0
64,,MRPL,164.60000610351562,0.33640118261998153,0.45544554455445546,0.5445544554455446,0.08910891089108913,ID FILTER,,,,0.0
65,,NAM-INDIA,1157.0,0.32360238104937644,0.4801980198019802,0.5198019801980198,0.03960396039603964,ID FILTER,,,,0.0
66,,CCL,1044.4000244140625,0.32130588700554785,0.5,0.5,0.0,ID FILTER,,,,0.0
67,,SOLARINDS,19745.0,0.30718129163228647,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,,,,2.0
68,,IPCALAB,1970.800048828125,0.30522024497191347,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
69,,ACMESOLAR,442.8999938964844,0.30380091417007105,0.4900990099009901,0.5099009900990099,0.01980198019801982,ID FILTER,,,,0.0
70,,M&MFIN,333.1000061035156,0.30372268447552453,0.495,0.505,0.010000000000000009,ID FILTER,,,,0.0
71,,BALRAMCHIN,685.7999877929688,0.2979465480973056,0.4752475247524752,0.5247524752475248,0.04950495049504955,ID FILTER,,,,0.0
72,,ABSLAMC,1014.5,0.2974299289737632,0.5124378109452736,0.48756218905472637,-0.02487562189054726,HOLD,,,,2.0
73,,ADANIGREEN,1296.5999755859375,0.29229763557544075,0.49504950495049505,0.504950495049505,0.00990099009900991,ID FILTER,,,,0.0
74,,PHOENIXLTD,1978.4000244140625,0.28668326723221216,0.504950495049505,0.49504950495049505,-0.00990099009900991,ID FILTER,,,,0.0
75,,IIFL,616.9500122070312,0.28534616859003115,0.5124378109452736,0.48756218905472637,-0.02487562189054726,HOLD,,,,2.0
76,,RBLBANK,415.04998779296875,0.2811762507833815,0.5,0.5,0.0,ID FILTER,,,,0.0
